RowIndex,Temperature,B,G,R
0,2.00,63.00,5.56,0.44
1,2.22,65.56,6.44,0.56
2,2.44,65.56,6.44,0.56
3,2.66,67.22,6.44,0.56
4,2.87,67.22,6.44,0.44
5,3.09,71.56,9.00,0.67
6,3.31,74.11,10.00,0.67
7,3.53,77.56,11.78,0.89
8,3.75,79.22,14.33,0.89
9,3.97,86.22,18.78,1.11
10,4.18,88.78,22.22,1.11
11,4.40,93.22,25.67,1.44
12,4.62,95.78,28.33,1.44
13,4.84,103.56,33.56,1.67
14,5.06,107.11,36.22,1.89
15,5.28,108.89,38.11,2.00
16,5.49,113.11,41.44,2.11
17,5.71,118.33,44.11,2.11
18,5.93,120.89,45.89,2.33
19,6.15,123.44,47.67,2.33
20,6.37,126.00,48.56,2.33
21,6.59,132.89,52.11,2.67
22,6.80,135.44,53.78,2.67
23,7.02,136.33,54.67,2.67
24,7.24,139.78,56.44,2.67
25,7.46,145.78,60.00,2.89
26,7.68,149.22,60.89,2.89
27,7.90,151.78,62.56,3.00
28,8.11,154.33,63.56,3.00
29,8.33,161.22,67.00,3.22
30,8.55,164.67,69.67,3.33
31,8.77,166.33,69.67,3.33
32,8.99,170.56,71.44,3.56
33,9.21,174.11,74.89,3.56
34,9.43,178.33,76.67,3.67
35,9.64,179.22,78.44,3.78
36,9.86,181.89,80.11,3.78
37,10.08,186.11,82.00,3.89
38,10.30,187.00,83.67,4.00
39,10.52,187.89,85.44,4.00
40,10.74,190.44,85.56,4.11
41,10.95,194.00,89.89,4.33
42,11.17,194.89,90.78,4.44
43,11.39,100.89,47.11,4.33
44,11.61,195.00,94.22,4.44
45,11.83,195.22,96.89,4.67
46,12.05,194.44,98.56,4.56
47,12.26,193.67,100.33,4.78
48,12.48,191.22,102.00,4.78
49,12.70,188.00,104.67,5.00
50,12.92,185.56,106.44,5.00
51,13.14,182.22,106.44,5.00
52,13.36,178.11,108.11,5.22
53,13.57,168.22,110.67,5.22
54,13.79,164.11,111.56,5.44
55,14.01,159.11,112.44,5.44
56,14.23,155.00,114.11,5.56
57,14.45,143.33,115.89,5.78
58,14.67,137.56,116.78,6.78
59,14.89,130.11,117.67,6.78
60,15.10,122.67,119.33,9.33
61,15.32,108.67,122.00,16.11
62,15.54,102.11,123.78,21.22
63,15.76,92.22,124.67,25.44
64,15.98,85.67,127.33,30.56
65,16.20,70.89,130.89,41.78
66,16.41,61.89,132.67,48.56
67,16.63,56.22,136.22,54.56
68,16.85,49.67,137.22,61.33
69,17.07,40.78,141.67,73.33
70,17.29,37.56,143.44,78.44
71,17.51,30.33,145.33,83.56
72,17.72,27.11,147.11,88.78
73,17.94,19.89,151.56,99.89
74,18.16,19.11,153.33,105.00
75,18.38,15.89,155.11,110.11
76,18.60,16.11,156.11,115.22
77,18.82,9.67,159.67,125.56
78,19.03,8.89,161.44,130.67
79,19.25,8.89,163.22,135.78
80,19.47,9.11,164.22,140.11
81,19.69,9.33,167.78,149.44
82,19.91,9.11,167.89,152.89
83,20.13,9.33,169.67,156.33
84,20.34,9.44,171.44,161.56
85,20.56,9.67,173.33,169.22
86,20.78,9.67,175.11,174.33
87,21.00,9.78,88.00,89.78
88,21.22,10.00,88.89,93.78
89,21.44,10.11,178.00,188.78
90,21.66,10.11,178.00,192.22
91,21.87,10.22,178.89,194.78
92,22.09,10.44,179.00,199.00
93,22.31,10.67,179.11,201.56
94,22.53,10.56,179.11,203.22
95,22.75,10.67,179.11,205.78
96,22.97,10.67,178.33,208.33
97,23.18,10.78,179.22,210.89
98,23.40,10.67,177.44,211.67
99,23.62,11.67,178.33,214.22
100,23.84,10.67,174.89,214.89
101,24.06,11.56,174.89,214.89
102,24.28,11.56,174.11,218.22
103,24.49,14.00,172.33,218.22
104,24.71,13.11,170.56,220.56
105,24.93,14.78,169.78,222.22
106,25.15,13.11,168.11,222.22
107,25.37,13.78,166.33,223.11
108,25.59,15.33,162.89,223.00
109,25.80,16.11,161.11,223.00
110,26.02,17.78,160.22,223.22
111,26.24,17.67,157.67,223.00
112,26.46,20.00,153.22,222.78
113,26.68,20.78,150.78,222.89
114,26.90,20.56,148.11,222.78
115,27.11,21.33,146.33,222.67
116,27.33,23.67,142.00,222.56
117,27.55,22.78,138.56,222.44
118,27.77,24.22,135.89,222.33
119,27.99,25.78,132.44,222.22
120,28.21,28.00,125.44,221.89
121,28.43,29.44,122.00,221.89
122,28.64,32.67,118.56,221.78
123,28.86,31.67,113.22,221.44
124,29.08,36.22,103.67,221.22
125,29.30,35.89,98.44,220.89
126,29.52,37.44,93.22,220.78
127,29.74,39.78,88.89,220.56
128,29.95,43.56,81.11,220.33
129,30.17,43.33,75.78,220.00
130,30.39,46.56,72.33,220.00
131,30.61,45.44,67.11,219.56
132,30.83,51.11,61.11,219.56
133,31.05,27.78,30.44,115.22
134,31.26,53.22,54.89,219.11
135,31.48,53.11,52.22,219.00
136,31.70,56.33,48.78,218.78
137,31.92,58.00,48.78,218.78
138,32.14,57.89,46.22,218.67
139,32.36,60.44,47.11,218.67
140,32.57,63.78,47.11,218.67
141,32.79,64.56,45.44,218.56
142,33.01,65.44,47.11,218.56
143,33.23,69.67,49.67,218.67
144,33.45,74.11,53.22,218.89
145,33.67,76.67,55.89,219.11
146,33.89,78.56,58.56,219.11
147,34.10,80.33,62.00,219.22
148,34.32,83.00,67.22,219.44
149,34.54,84.11,71.56,219.56
150,34.76,88.56,76.89,219.78
151,34.98,89.56,81.22,220.00
152,35.20,92.44,89.89,220.33
153,35.41,95.89,93.44,220.56
154,35.63,97.00,97.78,220.78
155,35.85,99.67,101.33,221.00
156,36.07,102.56,110.00,221.44
157,36.29,106.11,113.56,221.56
158,36.51,109.67,118.89,221.89
159,36.72,110.67,121.56,222.00
160,36.94,116.11,129.44,222.33
161,37.16,117.89,133.78,222.56
162,37.38,120.67,138.11,222.78
163,37.60,124.11,141.67,222.89
164,37.82,130.44,153.00,223.44
165,38.03,132.33,155.56,223.56
166,38.25,136.67,160.89,223.78
167,38.47,140.22,165.22,223.89
168,38.69,149.00,174.00,224.33
169,38.91,151.67,178.33,224.56
170,39.13,155.22,182.67,224.67
171,39.34,158.67,185.33,224.78
172,39.56,165.67,191.56,225.00
173,39.78,167.56,194.22,225.22
174,40.00,172.67,198.44,225.33
