Photo,Timestamp,Estimated Temperature (Â°)
image_000.png,2025-03-03 17:06:07,63.28
image_001.png,2025-03-03 17:06:09,63.28
image_002.png,2025-03-03 17:06:11,63.28
image_003.png,2025-03-03 17:06:13,110.34
image_004.png,2025-03-03 17:06:15,130.52
image_005.png,2025-03-03 17:06:17,114.83
image_006.png,2025-03-03 17:06:19,114.83
image_007.png,2025-03-03 17:06:21,118.19
image_008.png,2025-03-03 17:06:23,122.67
image_009.png,2025-03-03 17:06:25,130.52
image_010.png,2025-03-03 17:06:27,129.40
image_011.png,2025-03-03 17:06:30,146.21
image_012.png,2025-03-03 17:06:32,146.21
image_013.png,2025-03-03 17:06:34,63.28
image_014.png,2025-03-03 17:06:36,67.76
image_015.png,2025-03-03 17:06:38,67.76
image_016.png,2025-03-03 17:06:40,67.76
image_017.png,2025-03-03 17:06:42,68.88
image_018.png,2025-03-03 17:06:44,68.88
